pitch_accel,pitch_filtered,front_motor_pwm,back_motor_pwm,,,
-44.924,0.5858,0,0,,,
-47.2468,-0.382,1100.14648,1099.85352,,,
-39.5766,-1.1598,1099.90454,1100.09546,,,20
-44.2698,-2.0282,1099.71008,1100.28992,,,
-43.6776,-2.8602,1099.49292,1100.50708,,,
-40.5288,-3.6038,1099.28491,1100.71509,,,
-37.259,-4.2622,1099.099,1100.901,,,
-45.8256,-5.0966,1098.93445,1101.06555,,,
-39.7608,-5.8004,1098.72583,1101.27417,,,
-42.4188,-6.5272,1098.54993,1101.45007,,,
-40.4552,-7.1962,1098.36816,1101.63184,,,
-39.8616,-7.8418,1098.20093,1101.79907,,,
-36.351,-8.4196,1098.03955,1101.96045,,,
-37.6324,-9.0092,1097.89514,1102.10486,,,
-41.607,-9.6606,1097.74768,1102.25232,,,
-38.9014,-10.2414,1097.58484,1102.41516,,,
-39.5936,-10.8216,1097.4397,1102.5603,,,
-41.9452,-11.4416,1097.29456,1102.70544,,,
-23.347,-11.6782,1097.13965,1102.86035,,,
-41.2914,-12.2784,1097.08044,1102.91956,,,
-43.8348,-12.9084,1096.93042,1103.06958,,,
-47.7376,-13.6104,1096.77295,1103.22705,,,
-45.474,-14.2416,1096.59741,1103.40259,,,
-41.1954,-14.789,1096.43958,1103.56042,,,
-43.9082,-15.3768,1096.30273,1103.69727,,,
-45.2196,-15.9782,1096.15588,1103.84412,,,
-46.6038,-16.5932,1096.00549,1103.99451,,,
-45.3902,-17.1694,1095.85168,1104.14832,,,
-44.7658,-17.7266,1095.70764,1104.29236,,,
-45.6666,-18.2844,1095.56836,1104.43164,,,
-46.5836,-18.855,1095.42896,1104.57104,,,
-48.625,-19.4484,1095.28625,1104.71375,,,
-45.4254,-19.9692,1095.13782,1104.86218,,,
-51.1298,-20.5956,1095.00769,1104.99231,,,
-49.6276,-21.173,1094.85107,1105.14893,,,
-54.8708,-21.8508,1094.70679,1105.29321,,,
-52.9082,-22.4744,1094.53735,1105.46265,,,
-54.017,-23.1162,1094.38135,1105.61865,,,
-52.3406,-23.7082,1094.22095,1105.77905,,,
-54.0268,-24.3184,1094.073,1105.927,,,
-52.5534,-24.8848,1093.92041,1106.07959,,,
-50.4716,-25.3868,1093.77881,1106.22119,,,
-52.6796,-25.9394,1093.65332,1106.34668,,,
-49.6456,-26.4224,1093.51514,1106.48486,,,
-55.5054,-27.0002,1093.39441,1106.60559,,,
-55.9046,-27.5136,1093.25,1106.75,,,
-63.0314,-28.2786,1093.12158,1106.87842,,,
-22.033,-28.2362,1092.93042,1107.06958,,,
-44.6432,-28.4528,1092.94092,1107.05908,,,
-119.426,-30.1446,1092.88684,1107.11316,,,
-55.7674,-30.6702,1092.46387,1107.53613,,,
-99.9506,-31.9446,1092.3324,1107.6676,,,
-80.919,-33.0474,1092.01379,1107.98621,,,
18.0868,-32.2624,1091.73816,1108.26184,,,
-128.4244,-34.0272,1091.93445,1108.06555,,,
-88.0114,-35.115,1091.49316,1108.50684,,,
-54.3172,-35.388,1091.22131,1108.77869,,,
-72.6256,-36.184,1091.15295,1108.84705,,,
-23.8548,-36.0592,1090.95398,1109.04602,,,
-14.9584,-35.6244,1090.98523,1109.01477,,,
-105.252,-36.9316,1091.09387,1108.90613,,,
-146.9664,-39.1982,1090.76709,1109.23291,,,
-41.0338,-39.165,1090.20044,1109.79956,,,
-56.1942,-39.4658,1090.20874,1109.79126,,,
6.9974,-38.5646,1090.13354,1109.86646,,,
-27.7716,-38.2264,1090.35889,1109.64111,,,
-133.8174,-40.1314,1090.44336,1109.55664,,,
-119.1266,-41.69,1089.96716,1110.03284,,,
-63.2386,-42.1934,1089.57751,1110.42249,,,
-4.0296,-41.3358,1089.45166,1110.54834,,,
-158.1586,-43.712,1089.66602,1110.33398,,,
47.0214,-41.8398,1089.07202,1110.92798,,,
-69.3726,-42.434,1089.54004,1110.45996,,,
-92.5466,-43.4184,1089.39148,1110.60852,,,
-66.108,-43.839,1089.14539,1110.85461,,,
-25.8922,-43.4396,1089.04028,1110.95972,,,
51.9728,-41.4674,1089.14014,1110.85986,,,
-80.467,-42.2822,1089.63318,1110.36682,,,
-116.2262,-43.864,1089.42944,1110.57056,,,
-15.2608,-43.325,1089.03394,1110.96606,,,
-80.872,-44.1242,1089.1687,1110.8313,,,
-115.7748,-45.413,1088.96899,1111.03101,,,
-46.6236,-45.3254,1088.64673,1111.35327,,,
-30.3244,-45.1934,1088.6687,1111.3313,,,
-49.2462,-45.1516,1088.70166,1111.29834,,,
-71.658,-45.4072,1088.71216,1111.28784,,,
-153.1824,-47.8272,1088.64819,1111.35181,,,
-27.3268,-47.4304,1088.04321,1111.95679,,,
40.1434,-45.499,1088.14246,1111.85754,,,
-265.5538,-50.1454,1088.62524,1111.37476,,,
111.5006,-46.7018,1087.46362,1112.53638,,,
-21.24,-46.0438,1088.32458,1111.67542,,,
-305.3666,-51.5476,1088.48901,1111.51099,,,
-53.765,-51.7914,1087.11316,1112.88684,,,
71.5224,-48.9532,1087.05212,1112.94788,,,
-232.3644,-52.9552,1087.76172,1112.23828,,,
52.6342,-50.9768,1086.76123,1113.23877,,,
116.559,-47.2332,1087.25586,1112.74414,,,
-36.936,-47.068,1088.19165,1111.80835,,,
-96.1378,-48.2254,1088.23303,1111.76697,,,
69.5418,-45.717,1087.9436,1112.0564,,,
-161.8054,-48.3406,1088.5708,1111.4292,,,
-30.4998,-47.5828,1087.91492,1112.08508,,,
-83.2478,-48.4086,1088.10425,1111.89575,,,
-145.5686,-50.511,1087.89783,1112.10217,,,
116.0324,-46.9574,1087.37219,1112.62781,,,
-91.8964,-48.021,1088.26062,1111.73938,,,
-47.012,-48.0622,1087.99475,1112.00525,,,
79.6972,-45.2184,1087.9845,1112.0155,,,
-124.5966,-46.9814,1088.69543,1111.30457,,,
-76.2602,-47.7122,1088.25464,1111.74536,,,
12.0446,-46.3136,1088.0719,1111.9281,,,
-3.8276,-45.4984,1088.42163,1111.57837,,,
-289.0638,-50.472,1088.62537,1111.37463,,,
18.4686,-48.8136,1087.38196,1112.61804,,,
-108.5742,-50.1982,1087.79663,1112.20337,,,
-127.172,-51.8038,1087.45044,1112.54956,,,
-76.682,-52.0034,1087.04907,1112.95093,,,
-162.737,-54.3918,1086.99915,1113.00085,,,
83.8372,-51.531,1086.4021,1113.5979,,,
80.8332,-48.6346,1087.11731,1112.88269,,,
-196.1372,-51.6996,1087.84131,1112.15869,,,
6.1458,-50.519,1087.07507,1112.92493,,,
165.9236,-45.9226,1087.37024,1112.62976,,,
-192.6854,-49.1152,1088.51929,1111.48071,,,
-47.6588,-48.9966,1087.72119,1112.27881,,,
-79.647,-49.4314,1087.75085,1112.24915,,,
-207.296,-52.988,1087.64221,1112.35779,,,
-89.8288,-53.7158,1086.75305,1113.24695,,,
17.8726,-51.8328,1086.57104,1113.42896,,,
-463.7428,-60.4972,1087.04187,1112.95813,,,
114.8542,-57.0376,1084.87573,1115.12427,,,
81.7976,-53.9944,1085.7406,1114.2594,,,
-309.5822,-59.4148,1086.50146,1113.49854,,,
105.5078,-55.9326,1085.14624,1114.85376,,,
85.3758,-53.055,1086.01685,1113.98315,,,
-218.0714,-56.8162,1086.73621,1113.26379,,,
97.054,-53.455,1085.79602,1114.20398,,,
113.6544,-49.6556,1086.63623,1113.36377,,,
-433.1042,-57.8744,1087.58606,1112.41394,,,
103.7618,-54.4964,1085.53137,1114.46863,,,
-32.8014,-53.8418,1086.37585,1113.62415,,,
-461.2348,-62.4902,1086.53955,1113.46045,,,
27.2464,-60.449,1084.37744,1115.62256,,,
40.547,-58.093,1084.8877,1115.1123,,,
-554.544,-68.4716,1085.47681,1114.52319,,,
256.819,-61.7912,1082.88208,1117.11792,,,
4.2248,-60.1944,1084.55225,1115.44775,,,
-521.7116,-69.8662,1084.95142,1115.04858,,,
228.8244,-63.4214,1082.53345,1117.46655,,,
28.365,-61.3244,1084.14465,1115.85535,,,
-303.5886,-66.6318,1084.66882,1115.33118,,,
204.456,-60.7626,1083.34204,1116.65796,,,
61.1046,-58.3692,1084.80933,1115.19067,,,
-497.6774,-67.7652,1085.40771,1114.59229,,,
236.7146,-61.0576,1083.05872,1116.94128,,,
-267.7874,-65.1214,1084.7356,1115.2644,,,
-486.8638,-74.0842,1083.7196,1116.2804,,,
242.4586,-67.0996,1081.479,1118.521,,,
-231.359,-70.2792,1083.2251,1116.7749,,,
-449.383,-78.6256,1082.43018,1117.56982,,,
320.2848,-70.0324,1080.34363,1119.65637,,,
-203.3454,-72.6286,1082.49194,1117.50806,,,
-442.9562,-80.622,1081.8429,1118.1571,,,
318.0892,-72.1466,1079.84448,1120.15552,,,
-164.6636,-74.157,1081.96338,1118.03662,,,
-246.9264,-78.0596,1081.46069,1118.53931,,,
310.641,-69.6022,1080.48511,1119.51489,,,
-164.9128,-71.9098,1082.59949,1117.40051,,,
-164.9466,-74.1296,1082.02258,1117.97742,,,
332.7202,-65.369,1081.46765,1118.53235,,,
-490.5992,-74.4728,1083.65771,1116.34229,,,
-148.7876,-76.0426,1081.38184,1118.61816,,,
342.1976,-67.1034,1080.98938,1119.01062,,,
-529.8624,-76.8558,1083.22412,1116.77588,,,
-114.8338,-77.5246,1080.78601,1119.21399,,,
87.4616,-73.8808,1080.6189,1119.3811,,,
-421.046,-81.3634,1081.52979,1118.47021,,,
138.3278,-76.5532,1079.65918,1120.34082,,,
85.682,-73.1166,1080.86169,1119.13831,,,
-425.3648,-80.725,1081.72083,1118.27917,,,
242.6266,-73.6638,1079.81873,1120.18127,,,
111.6932,-69.9726,1081.58411,1118.41589,,,
-409.1232,-77.4626,1082.50684,1117.49316,,,
328.3504,-68.7898,1080.6344,1119.3656,,,
-369.5146,-75.3448,1082.80249,1117.19751,,,
-94.6946,-75.449,1081.16382,1118.83618,,,
296.218,-67.85,1081.13782,1118.86218,,,
-406.3922,-75.0252,1083.03748,1116.96252,,,
158.194,-69.8162,1081.24365,1118.75635,,,
-130.9684,-70.9508,1082.54602,1117.45398,,,
-272.974,-75.4246,1082.26233,1117.73767,,,
258.276,-68.3496,1081.1438,1118.8562,,,
-125.5502,-69.7322,1082.9126,1117.0874,,,
-325.0092,-75.2522,1082.56689,1117.43311,,,
221.1356,-68.6582,1081.18689,1118.81311,,,
-147.292,-70.5608,1082.83545,1117.16455,,,
-65.9548,-70.373,1082.35974,1117.64026,,,
179.0146,-65.0252,1082.40674,1117.59326,,,
-202.1756,-68.2506,1083.74377,1116.25623,,,
42.25,-65.6154,1082.93738,1117.06262,,,
53.8426,-63.1384,1083.59619,1116.40381,,,
-326.4364,-68.7722,1084.21545,1115.78455,,,
22.3164,-66.6388,1082.80701,1117.19299,,,
-13.9888,-65.472,1083.34033,1116.65967,,,
-189.8304,-68.1438,1083.63196,1116.36804,,,
101.5152,-64.4366,1082.96411,1117.03589,,,
-94.8104,-65.2166,1083.89087,1116.10913,,,
25.2898,-63.463,1083.6958,1116.3042,,,
-30.9186,-62.5154,1084.13428,1115.86572,,,
-115.5922,-63.9984,1084.37122,1115.62878,,,
-50.4252,-63.6292,1084.00037,1115.99963,,,
91.2964,-60.3584,1084.09265,1115.90735,,,
-127.344,-61.8814,1084.9104,1115.0896,,,
-74.7074,-62.1398,1084.52966,1115.47034,,,
-25.738,-61.3444,1084.46509,1115.53491,,,
-97.872,-62.2476,1084.66394,1115.33606,,,
-74.9598,-62.3898,1084.43811,1115.56189,,,
-41.5652,-61.9076,1084.40259,1115.59741,,,
2.5728,-60.5974,1084.52307,1115.47693,,,
-192.3538,-63.3136,1084.85059,1115.14941,,,
-4.65,-62.3188,1084.17163,1115.82837,,,
36.306,-60.3952,1084.42029,1115.57971,,,
-249.524,-64.2738,1084.90125,1115.09875,,,
-152.3386,-66.0512,1083.93152,1116.06848,,,
-101.5046,-66.549,1083.48718,1116.51282,,,
-84.027,-66.8498,1083.36279,1116.63721,,,
-37.2764,-66.3696,1083.28748,1116.71252,,,
16.2826,-64.5508,1083.40759,1116.59241,,,
-136.0866,-66.0778,1083.8623,1116.1377,,,
59.121,-63.5612,1083.48059,1116.51941,,,
-12.2702,-62.3766,1084.10974,1115.89026,,,
-58.5814,-62.2588,1084.40588,1115.59412,,,
90.338,-59.236,1084.4353,1115.5647,,,
-85.9164,-59.747,1085.19104,1114.80896,,,
-157.0488,-61.7578,1085.06323,1114.93677,,,
102.5898,-58.4598,1084.56055,1115.43945,,,
-24.1852,-57.668,1085.38501,1114.61499,,,
-221.529,-61.0496,1085.58301,1114.41699,,,
73.733,-58.2438,1084.73755,1115.26245,,,
-86.2432,-58.787,1085.43909,1114.56091,,,
-175.9438,-61.2808,1085.30322,1114.69678,,,
50.7992,-58.808,1084.67981,1115.32019,,,
-68.2492,-58.87,1085.29797,1114.70203,,,
-138.8144,-60.6518,1085.28247,1114.71753,,,
21.4394,-58.892,1084.83704,1115.16296,,,
-112.9028,-59.899,1085.27698,1114.72302,,,
-151.1584,-61.9308,1085.02527,1114.97473,,,
169.3098,-57.1164,1084.51733,1115.48267,,,
-19.0852,-56.047,1085.72083,1114.27917,,,
-182.95,-58.7092,1085.98828,1114.01172,,,
124.571,-54.9506,1085.32263,1114.67737,,,
-41.6844,-54.5746,1086.26233,1113.73767,,,
-39.719,-54.4104,1086.35632,1113.64368,,,
92.0422,-51.2828,1086.39746,1113.60254,,,
-128.9462,-52.733,1087.17932,1112.82068,,,
-104.5732,-53.9682,1086.81677,1113.18323,,,
66.0936,-51.4152,1086.50793,1113.49207,,,
-129.6942,-52.9724,1087.14624,1112.85376,,,
5.3254,-51.8656,1086.75684,1113.24316,,,
78.9028,-48.9918,1087.03357,1112.96643,,,
-29.9116,-48.7314,1087.75208,1112.24792,,,
-139.5372,-50.9462,1087.81714,1112.18286,,,
147.174,-46.9152,1087.26343,1112.73657,,,
-99.4948,-48.0686,1088.27124,1111.72876,,,
-214.3388,-51.5496,1087.98279,1112.01721,,,
54.5238,-49.2016,1087.11267,1112.88733,,,
-117.9926,-50.7392,1087.69958,1112.30042,,,
2.161,-49.5456,1087.31519,1112.68481,,,
-61.2556,-49.738,1087.61365,1112.38635,,,
-6.1442,-49.036,1087.56555,1112.43445,,,
56.2152,-46.9398,1087.74097,1112.25903,,,
-17.4424,-46.6304,1088.26501,1111.73499,,,
-26.9776,-46.4944,1088.34241,1111.65759,,,
92.3614,-43.7556,1088.37646,1111.62354,,,
-123.8376,-45.5926,1089.06116,1110.93884,,,
-230.71,-49.6748,1088.60181,1111.39819,,,
122.795,-46.2322,1087.5813,1112.4187,,,
-6.4814,-45.3264,1088.44189,1111.55811,,,
-92.2346,-46.664,1088.66833,1111.33167,,,
29.3354,-45.2936,1088.33398,1111.66602,,,
112.6076,-42.0886,1088.67664,1111.32336,,,
-138.2358,-44.3774,1089.47778,1110.52222,,,
51.6184,-42.6288,1088.90564,1111.09436,,,
8.9468,-41.8514,1089.34277,1110.65723,,,
38.5804,-40.4768,1089.53711,1110.46289,,,
-58.2386,-41.0064,1089.88086,1110.11914,,,
-108.3244,-42.674,1089.74841,1110.25159,,,
14.5,-41.5996,1089.33154,1110.66846,,,
-12.3126,-41.055,1089.6001,1110.3999,,,
-165.021,-44.043,1089.73621,1110.26379,,,
-58.3624,-44.596,1088.98926,1111.01074,,,
52.6376,-42.6524,1088.85095,1111.14905,,,
-338.0062,-49.0816,1089.33691,1110.66309,,,
-35.8724,-49.4276,1087.72961,1112.27039,,,
48.3938,-47.7096,1087.64307,1112.35693,,,
-67.4478,-48.5126,1088.07263,1111.92737,,,
-82.238,-49.6956,1087.87183,1112.12817,,,
-28.1422,-49.5184,1087.57617,1112.42383,,,
63.6244,-47.7514,1087.62036,1112.37964,,,
-32.16,-47.9026,1088.06213,1111.93787,,,
-134.6152,-50.1548,1088.02429,1111.97571,,,
-45.6576,-50.6106,1087.4613,1112.5387,,,
60.3862,-48.7552,1087.34741,1112.65259,,,
-107.0016,-50.6504,1087.81116,1112.18884,,,
-70.7466,-52.06,1087.3374,1112.6626,,,
60.8748,-50.7706,1086.98499,1113.01501,,,
-86.4978,-52.4506,1087.30737,1112.69263,,,
-55.4942,-53.7938,1086.88733,1113.11267,,,
-149.9312,-56.708,1086.55151,1113.44849,,,
-40.9598,-57.4002,1085.823,1114.177,,,
-137.4052,-60.334,1085.6499,1114.3501,,,
-35.917,-61.036,1084.9165,1115.0835,,,
-44.7162,-61.9346,1084.74097,1115.25903,,,
-149.5224,-64.8924,1084.51636,1115.48364,,,
-9.8188,-64.7036,1083.77686,1116.22314,,,
-147.9138,-67.2966,1083.8241,1116.1759,,,
-79.1148,-68.3856,1083.1759,1116.8241,,,
-4.706,-67.6096,1082.90356,1117.09644,,,
-147.1652,-69.7402,1083.09753,1116.90247,,,
-158.6116,-71.9976,1082.56494,1117.43506,,,
0.288,-70.7556,1082.00061,1117.99939,,,
-133.6294,-72.2182,1082.31104,1117.68896,,,
-220.8668,-75.47,1081.94543,1118.05457,,,
48.6948,-72.997,1081.13245,1118.86755,,,
-171.9922,-75.293,1081.75073,1118.24927,,,
-78.735,-75.5706,1081.17676,1118.82324,,,
-6.2288,-74.2236,1081.1073,1118.8927,,,
-217.9468,-77.603,1081.44409,1118.55591,,,
-49.0206,-77.4194,1080.59924,1119.40076,,,
62.6908,-74.793,1080.64514,1119.35486,,,
-202.105,-77.9118,1081.30176,1118.69824,,,
64.1518,-75.4814,1080.52209,1119.47791,,,
13.8544,-74.0472,1081.12964,1118.87036,,,
-187.7934,-76.8218,1081.48816,1118.51184,,,
41.4928,-74.6556,1080.79456,1119.20544,,,
-68.5516,-74.911,1081.33606,1118.66394,,,
-133.0312,-76.5874,1081.27222,1118.72778,,,
114.5368,-72.7092,1080.85315,1119.14685,,,
-136.5888,-74.1868,1081.82275,1118.17725,,,
-183.1608,-76.9598,1081.45325,1118.54675,,,
43.0288,-74.421,1080.76001,1119.23999,,,
-198.2976,-76.8258,1081.39478,1118.60522,,,
-204.334,-79.2624,1080.79358,1119.20642,,,
-32.5032,-77.9018,1080.18445,1119.81555,,,
-243.9604,-81.032,1080.52454,1119.47546,,,
-114.4972,-81.1046,1079.74194,1120.25806,,,
-92.5264,-80.432,1079.72388,1120.27612,,,
-426.8386,-87.0106,1079.89197,1120.10803,,,
180.1376,-80.1004,1078.24731,1121.75269,,,
-117.6348,-79.8622,1079.97485,1120.02515,,,
-65.524,-78.8286,1080.03442,1119.96558,,,
-7.2166,-76.437,1080.29285,1119.70715,,,
-218.8614,-78.5646,1080.89075,1119.10925,,,
100.8138,-73.9924,1080.35889,1119.64111,,,
-25.3772,-72.0312,1081.50195,1118.49805,,,
-348.417,-77.2082,1081.99219,1118.00781,,,
199.348,-70.7368,1080.698,1119.302,,,
42.1784,-67.4692,1082.3158,1117.6842,,,
-327.9468,-72.458,1083.13269,1116.86731,,,
91.0172,-68.5154,1081.8855,1118.1145,,,
-119.2794,-69.0752,1082.87122,1117.12878,,,
-109.2626,-69.5428,1082.7312,1117.2688,,,
-35.656,-68.3726,1082.61426,1117.38574,,,
-146.938,-69.882,1082.90686,1117.09314,,,
-208.497,-72.2536,1082.52954,1117.47046,,,
71.8434,-68.6166,1081.93665,1118.06335,,,
-433.4956,-75.986,1082.84583,1117.15417,,,
-0.839,-73.9572,1081.00354,1118.99646,,,
9.6622,-71.6576,1081.51074,1118.48926,,,
-336.6898,-76.8074,1082.08557,1117.91443,,,
80.5676,-73.1392,1080.7981,1119.2019,,,
-132.7038,-73.8956,1081.71521,1118.28479,,,
-205.1,-76.0646,1081.52612,1118.47388,,,
106.5148,-71.633,1080.98389,1119.01611,,,
-277.035,-75.334,1082.09167,1117.90833,,,
-57.2534,-74.5842,1081.1665,1118.8335,,,
183.8526,-68.3092,1081.354,1118.646,,,
-295.652,-72.462,1082.92273,1117.07727,,,
-105.4404,-72.6596,1081.88452,1118.11548,,,
104.7148,-68.1838,1081.83508,1118.16492,,,
-216.8092,-70.724,1082.95398,1117.04602,,,
-25.4922,-69.2818,1082.31897,1117.68103,,,
-187.37,-70.923,1082.67957,1117.32043,,,
-238.1586,-74.0562,1082.26929,1117.73071,,,
65.6972,-70.7328,1081.48596,1118.51404,,,
-86.3514,-70.2112,1082.31677,1117.68323,,,
-391.7778,-76.66,1082.44714,1117.55286,,,
20.4088,-74.3802,1080.83496,1119.16504,,,
-49.4858,-73.282,1081.40491,1118.59509,,,
-244.3944,-76.7128,1081.67944,1118.32056,,,
76.4782,-73.2478,1080.82178,1119.17822,,,
-45.2456,-72.3434,1081.68811,1118.31189,,,
-207.8348,-75.08,1081.91418,1118.08582,,,
109.8622,-70.9296,1081.22998,1118.77002,,,
-185.5422,-72.924,1082.26758,1117.73242,,,
10.4202,-71.2568,1081.76892,1118.23108,,,
123.1994,-66.7892,1082.18579,1117.81421,,,
-64.6076,-66.49,1083.30273,1116.69727,,,
-75.293,-66.6628,1083.37756,1116.62244,,,
62.0752,-63.4804,1083.33435,1116.66565,,,
-326.8112,-68.7408,1084.12988,1115.87012,,,
35.5998,-66.6888,1082.81482,1117.18518,,,
72.957,-63.4004,1083.32776,1116.67224,,,
-266.9652,-67.5556,1084.1499,1115.8501,,,
-49.9156,-67.0178,1083.11108,1116.88892,,,
44.3422,-64.2622,1083.24561,1116.75439,,,
-248.3886,-68.1008,1083.93445,1116.06555,,,
-93.5204,-68.3848,1082.97485,1117.02515,,,
62.4224,-65.3308,1082.90381,1117.09619,,,
-266.8532,-69.563,1083.66724,1116.33276,,,
-45.118,-68.8432,1082.60925,1117.39075,,,
-54.0252,-68.0756,1082.78918,1117.21082,,,
-184.729,-70.5822,1082.98108,1117.01892,,,
133.3788,-66.3486,1082.35449,1117.64551,,,
-80.0404,-66.1382,1083.41284,1116.58716,,,
-229.4356,-69.559,1083.46545,1116.53455,,,
120.2704,-65.3372,1082.61023,1117.38977,,,
53.8492,-62.5414,1083.66565,1116.33435,,,
-122.2734,-63.643,1084.36462,1115.63538,,,
18.9436,-61.6618,1084.08923,1115.91077,,,
18.1102,-59.7538,1084.58459,1115.41541,,,
37.8108,-57.4598,1085.06152,1114.93848,,,
-19.2444,-55.9898,1085.63501,1114.36499,,,
-258.9312,-59.5872,1086.00256,1113.99744,,,
-121.3734,-60.5246,1085.10315,1114.89685,,,
112.7762,-56.215,1084.8689,1115.1311,,,
-151.1672,-57.7616,1085.94629,1114.05371,,,
-247.8968,-61.3,1085.55957,1114.44043,,,
57.8668,-58.1334,1084.67505,1115.32495,,,
-107.618,-58.6566,1085.46667,1114.53333,,,
-115.8486,-59.4116,1085.33582,1114.66418,,,
30.6552,-56.8512,1085.14709,1114.85291,,,
-54.1188,-56.2416,1085.78723,1114.21277,,,
74.9214,-52.8954,1085.93958,1114.06042,,,
-89.6436,-53.1822,1086.77612,1113.22388,,,
-89.2364,-53.5132,1086.70447,1113.29553,,,
157.7066,-48.4392,1086.6217,1113.3783,,,
-169.801,-50.3684,1087.89026,1112.10974,,,
-179.5228,-52.7252,1087.40784,1112.59216,,,
29.1786,-50.3558,1086.81873,1113.18127,,,
-22.3432,-49.1028,1087.41101,1112.58899,,,
-137.0838,-50.463,1087.72424,1112.27576,,,
0.2828,-48.9582,1087.38428,1112.61572,,,
9.6164,-47.1218,1087.7605,1112.2395,,,
11.9958,-45.2574,1088.2196,1111.7804,,,
-119.1156,-46.1304,1088.68567,1111.31433,,,
-51.366,-45.6772,1088.46741,1111.53259,,,
79.5772,-42.3752,1088.58069,1111.41931,,,
30.6908,-40.021,1089.40625,1110.59375,,,
-153.4244,-41.728,1089.99475,1110.00525,,,
32.618,-39.2042,1089.56799,1110.43201,,,
70.567,-35.5116,1090.19897,1109.80103,,,
-200.9904,-38.293,1091.12207,1108.87793,,,
45.4998,-35.675,1090.42676,1109.57324,,,
49.3136,-33.0186,1091.0813,1108.9187,,,
-87.4442,-33.4742,1091.74536,1108.25464,,,
-21.3676,-32.533,1091.63147,1108.36853,,,
2.4408,-30.8966,1091.86682,1108.13318,,,
-129.1816,-32.021,1092.27588,1107.72412,,,
-134.072,-33.2046,1091.99475,1108.00525,,,
-41.4506,-32.54,1091.69885,1108.30115,,,
110.059,-28.829,1091.86499,1108.13501,,,
-72.2252,-28.7508,1092.79272,1107.20728,,,
-175.2652,-30.927,1092.81226,1107.18774,,,
98.063,-27.3354,1092.26831,1107.73169,,,
56.41,-24.4836,1093.16614,1106.83386,,,
-131.793,-25.5662,1093.87915,1106.12085,,,
-123.4984,-26.6166,1093.6084,1106.3916,,,
99.9634,-22.818,1093.34583,1106.65417,,,
-75.7116,-22.7902,1094.29553,1105.70447,,,
-34.3078,-22.1034,1094.30237,1105.69763,,,
18.8122,-20.0864,1094.47412,1105.52588,,,
98.3514,-16.4168,1094.97839,1105.02161,,,
5.336,-14.8824,1095.89575,1104.10425,,,
-137.7396,-16.2734,1096.27942,1103.72058,,,
104.6386,-12.4794,1095.93164,1104.06836,,,
76.4814,-9.3812,1096.88013,1103.11987,,,
-158.6552,-11.3338,1097.65466,1102.34534,,,
58.8498,-8.6342,1097.1665,1102.8335,,,
89.394,-5.2904,1097.84143,1102.15857,,,
-27.179,-4.6038,1098.67737,1101.32263,,,
