pitch_accel,pitch_filtered,front_motor_pwm,back_motor_pwm,,,,,
-48.6414,0.3734,1100.34314,1099.65686,,,,,
-67.5388,-0.99,1100.09338,1099.90662,,,20,,
-68.0634,-2.3244,1099.75244,1100.24756,,,,,
-65.1352,-3.5736,1099.41895,1100.58105,,,,,`
-79.6144,-5.0994,1099.10657,1100.89343,,,,,
-77.3948,-6.5366,1098.7251,1101.2749,,,,,
-63.657,-7.671,1098.36584,1101.63416,,,,,
-70.4498,-8.9188,1098.08228,1101.91772,,,,,
-77.9814,-10.2994,1097.77026,1102.22974,,,,,
-60.2986,-11.29,1097.42517,1102.57483,,,,,
-67.4946,-12.412,1097.17749,1102.82251,,,,,
-45.6588,-13.0762,1096.89697,1103.10303,,,,,
-69.7076,-14.2132,1096.73096,1103.26904,,,,,
-58.6968,-15.095,1096.44666,1103.55334,,,,,
-68.1836,-16.1546,1096.2262,1103.7738,,,,,
-60.406,-17.0368,1095.9613,1104.0387,,,,,
-65.9984,-18.0184,1095.74072,1104.25928,,,,,
-73.5272,-19.125,1095.49536,1104.50464,,,,,
-60.1996,-19.9444,1095.21875,1104.78125,,,,,
-68.4126,-20.9088,1095.01392,1104.98608,,,,,
-78.527,-22.0712,1094.77283,1105.22717,,,,,
-64.0712,-22.9088,1094.48218,1105.51782,,,,,
-80.157,-24.043,1094.27283,1105.72717,,,,,
-64.1354,-24.8464,1093.98926,1106.01074,,,,,
-68.045,-25.709,1093.78845,1106.21155,,,,,
-64.6336,-26.4868,1093.57275,1106.42725,,,,,
-77.9458,-27.521,1093.3783,1106.6217,,,,,
-65.4898,-28.2812,1093.11975,1106.88025,,,,,
-66.9242,-29.0484,1092.92969,1107.07031,,,,,
-65.1274,-29.7578,1092.73792,1107.26208,,,,,
-61.6854,-30.4036,1092.56055,1107.43945,,,,,
-79.6116,-31.3836,1092.39917,1107.60083,,,,,
-70.7504,-32.1716,1092.15417,1107.84583,,,,,
-57.3268,-32.6784,1091.95715,1108.04285,,,,,
-50.5178,-33.0308,1091.83044,1108.16956,,,,,
-59.441,-33.562,1091.74231,1108.25769,,,,,
-48.9952,-33.872,1091.6095,1108.3905,,,,,
-76.296,-34.7256,1091.53198,1108.46802,,,,,
-63.7872,-35.3068,1091.3186,1108.6814,,,,,
-65.9564,-35.915,1091.17322,1108.82678,,,,,
-65.8572,-36.5154,1091.02124,1108.97876,,,,,
-48.0558,-36.7426,1090.87122,1109.12878,,,,,
-169.2458,-39.3878,1090.81433,1109.18567,,,,,
-120.674,-41.045,1090.15308,1109.84692,,,,,
-118.4238,-42.5598,1089.73877,1110.26123,,,,,
-107.8846,-43.855,1089.36011,1110.63989,,,,,
125.8298,-40.4986,1089.03625,1110.96375,,,,,
-110.974,-41.899,1089.87537,1110.12463,,,,,
-140.0694,-43.856,1089.52527,1110.47473,,,,,
-41.156,-43.8606,1089.03601,1110.96399,,,,,
5.4458,-42.8364,1089.03491,1110.96509,,,,,
-113.611,-44.2318,1089.29089,1110.70911,,,,,
-5.457,-43.4202,1088.94202,1111.05798,,,,,
-20.9816,-42.9416,1089.1449,1110.8551,,,,,
-94.5286,-44.0052,1089.26465,1110.73535,,,,,
-77.5014,-44.7264,1088.99866,1111.00134,,,,,
-172.5566,-47.2462,1088.81836,1111.18164,,,,,
13.0976,-46.0444,1088.18848,1111.81152,,,,,
-187.8404,-48.901,1088.48889,1111.51111,,,,,
135.5542,-45.247,1087.77478,1112.22522,,,,,
-152.0654,-47.5094,1088.68823,1111.31177,,,,,
-16.8848,-46.9854,1088.12268,1111.87732,,,,,
-330.5182,-52.604,1088.25366,1111.74634,,,,,
130.0914,-48.8928,1086.849,1113.151,,,,,
-94.257,-49.7316,1087.77686,1112.22314,,,,,
166.5962,-45.3362,1087.56714,1112.43286,,,,,
-6.3146,-44.504,1088.66589,1111.33411,,,,,
-32.5724,-44.2726,1088.87402,1111.12598,,,,,
-30.9186,-44.1146,1088.93188,1111.06812,,,,,
26.7502,-42.9276,1088.97131,1111.02869,,,,,
-941.7152,-60.9134,1089.26807,1110.73193,,,,,
32.0904,-58.9598,1084.77161,1115.22839,,,,,
-171.1402,-61.0292,1085.26001,1114.73999,,,,,
287.9892,-54.041,1084.74268,1115.25732,,,,,
-278.8278,-58.8152,1086.48975,1113.51025,,,,,
-1020.813,-77.9502,1085.29614,1114.70386,,,,,
-258.323,-81.3704,1080.51245,1119.48755,,,,,
-472.2418,-89.2394,1079.65735,1120.34265,,,,,
333.6696,-80.9228,1077.69019,1122.30981,,,,,
671.8898,-65.8328,1079.76929,1120.23071,,,,,
-264.9482,-69.5226,1083.54175,1116.45825,,,,,
-842.6004,-85.192,1082.61938,1117.38062,,,,,
-100.3178,-85.7294,1078.70203,1121.29797,,,,,
64.7466,-82.5142,1078.56763,1121.43237,,,,,
2547.8584,-29.9448,1079.37146,1120.62854,,,,,
-44.465,-30.3652,1092.51379,1107.48621,,,,,
162.6176,-26.4514,1092.40869,1107.59131,,,,,
211.8952,-21.6188,1093.38708,1106.61292,,,,,
-386.8868,-28.9398,1094.59534,1105.40466,,,,,
75.505,-26.8546,1092.76501,1107.23499,,,,,
-405.79,-34.3552,1093.28638,1106.71362,,,,,
-23.589,-34.206,1091.41113,1108.58887,,,,,
-520.7012,-44.042,1091.44849,1108.55151,,,,,
293.1484,-37.1882,1088.9895,1111.0105,,,,,
329.4402,-29.8756,1090.70288,1109.29712,,,,,
193.9048,-25.3934,1092.53113,1107.46887,,,,,
214.8274,-20.4362,1093.65161,1106.34839,,,,,
-1347.1136,-47.14,1094.89099,1105.10901,,,,,
-364.386,-53.628,1088.21497,1111.78503,,,,,
-626.0222,-64.87,1086.59302,1113.40698,,,,,
3565.4266,7.7588,1083.78247,1116.21753,,,,,
602.83,19.5722,1101.9397,1098.0603,,,,,
-1422.4994,-9.3094,1104.89307,1095.10693,,,,,
-514.7606,-19.477,1097.67273,1102.32727,,,,,
1612.257,12.8898,1095.13074,1104.86926,,,,,
-222.705,8.3424,1103.22241,1096.77759,,,,,
-992.724,-11.558,1102.08557,1097.91443,,,,,
-9.5298,-11.5972,1097.11047,1102.88953,,,,,
362.3572,-4.014,1097.10071,1102.89929,,,,,
-444.0844,-12.7876,1098.99646,1101.00354,,,,,
397.8014,-4.7548,1096.8031,1103.1969,,,,,
-272.6964,-10.1114,1098.81128,1101.18872,,,,,
-20.039,-10.1812,1097.47217,1102.52783,,,,,
-528.0406,-20.5548,1097.45471,1102.54529,,,,,
272.017,-14.622,1094.86133,1105.13867,,,,,
-132.8716,-16.9726,1096.34448,1103.65552,,,,,
3410.2328,51.4694,1095.75684,1104.24316,,,,,
646.0294,63.4564,1112.86731,1087.13269,,,,,
688.618,76.0244,1115.86414,1084.13586,,,,,
188.6998,78.1444,1119.0061,1080.9939,,,,,
445.3706,85.4896,1119.53613,1080.46387,,,,,
-94.3394,82.0056,1121.37244,1078.62756,,,,,
161.0356,83.457,1120.50146,1079.49854,,,,,
