connected to i2c device 5
imu who am i is 113 
                    
calibration complete, -2.695923 -2.784371 2.228475 -1.994713 1.183828 0.000000
shared memory attached at address 0xb6f7e000
segment size: 25600
calibration complete, 4.137041 2.280841 -0.872952 -3.076362 3.127099 0.000000
   0.00000,  -0.33858
   0.00000,  -0.33660
   0.00000,  -0.33724
   0.00000,  -0.33446
   0.00000,  -0.33232
   0.00000,  -0.32847
   0.00000,  -0.32824
   0.00000,  -0.32555
   0.00000,  -0.32513
   0.00000,  -0.32477
   0.00000,  -0.32516
   0.00000,  -0.32817
   0.00000,  -0.32768
   0.00000,  -0.32559
   0.00000,  -0.32668
   0.00000,  -0.32654
   0.00000,  -0.32739
   0.00000,  -0.32686
   0.00000,  -0.32476
   0.00000,  -0.32157
   0.00000,  -0.31884
   0.00000,  -0.31655
   0.00000,  -0.31241
   0.00000,  -0.30720
   0.00000,  -0.30283
   0.00000,  -0.29936
   0.00000,  -0.29569
   0.00000,  -0.29109
   0.00000,  -0.28659
   0.00000,  -0.28198
   0.00000,  -0.27660
   0.00000,  -0.27443
   0.00000,  -0.27124
   0.00000,  -0.26891
   0.00000,  -0.26522
   0.00000,  -0.26271
   0.00000,  -0.25921
   0.00000,  -0.25627
   0.00000,  -0.25519
   0.00000,  -0.25329
   0.00000,  -0.25018
   0.00000,  -0.24906
   0.00000,  -0.24625
   0.00000,  -0.24393
   0.00000,  -0.24315
   0.00000,  -0.23867
   0.00000,  -0.23668
   0.00000,  -0.24990
   0.00000,  -0.30474
   0.00000,  -0.33907
   0.00000,  -0.33467
   0.00000,  -0.28764
   0.00000,  -0.27904
   0.00000,  -0.24640
   0.00000,  -0.23918
   0.00000,  -0.26655
   0.00000,  -0.29380
   0.00000,  -0.29043
   0.00000,  -0.30880
   0.00000,  -0.26976
   0.00000,  -0.25127
   0.00000,  -0.21505
   0.00000,  -0.22157
   0.00000,  -0.30447
   0.00000,  -0.32437
   0.00000,  -0.29304
   0.00000,  -0.26916
   0.00000,  -0.27593
   0.00000,  -0.25599
   0.00000,  -0.29554
   0.00000,  -0.33526
   0.00000,  -0.24007
   0.00000,  -0.28620
   0.00000,  -0.33345
   0.00000,  -0.28824
   0.00000,  -0.23626
   0.00000,  -0.23942
   0.00000,  -0.21235
   0.00000,  -0.17894
   0.00000,  -0.20780
   0.00000,  -0.17418
   0.00000,  -0.16023
   0.00000,  -0.24874
   0.00000,  -0.23734
   0.00000,  -0.24244
   0.00000,  -0.17670
   0.00000,  -0.32997
   0.00000,  -0.14097
   0.00000,  -0.28789
   0.00000,  -0.15419
   0.00000,  -0.25505
   0.00000,  -0.20514
   0.00000,  -0.18362
   0.00000,  -0.15692
   0.00000,  -0.16567
   0.00000,  -0.18538
   0.00000,  -0.35610
   0.00000,  -0.29684
   0.00000,  -0.40132
   0.00000,  -0.32672
   0.00000,  -0.18295
   0.00000,  -0.27191
   0.00000,  -0.21408
   0.00000,  -0.18118
   0.00000,  -0.30978
   0.00000,  -0.14360
   0.00000,  -0.20952
   0.00000,  -0.22422
   0.00000,  -0.04743
   0.00000,  -0.25193
   0.00000,  -0.43902
   0.00000,  -0.16244
   0.00000,  -0.34470
   0.00000,  -0.45436
   0.00000,  -0.28429
   0.00000,  -0.46039
   0.00000,  -0.40707
   0.00000,  -0.42106
   0.00000,  -0.64162
   0.00000,  -0.44867
   0.00000,  -0.66866
   0.00000,  -0.78706
   0.00000,  -0.54754
   0.00000,  -0.65554
   0.00000,  -0.59799
   0.00000,  -0.42684
   0.00000,  -0.58189
   0.00000,  -0.46393
   0.00000,  -0.48324
   0.00000,  -0.68733
   0.00000,  -0.48892
   0.00000,  -0.16562
   0.00000,  -0.39184
   0.00000,  -0.21378
   0.00000,   0.08909
   0.00000,  -0.12513
   0.00000,   0.01393
   0.00000,   0.24831
   0.00000,  -0.06689
   0.00000,  -0.15644
   0.00000,   0.07539
   0.00000,  -0.24339
   0.00000,  -0.28998
   0.00000,  -0.17560
   0.00000,  -0.23160
   0.00000,  -0.24949
   0.00000,  -0.20884
   0.00000,  -0.27307
   0.00000,  -0.26678
   0.00000,  -0.28489
   0.00000,  -0.43581
   0.00000,  -0.35530
   0.00000,  -0.16320
   0.00000,  -0.47960
   0.00000,  -0.33113
   0.00000,  -0.11849
   0.00000,  -0.37013
   0.00000,  -0.22153
   0.00000,   0.01754
   0.00000,  -0.30507
   0.00000,  -0.34516
   0.00000,  -0.22685
   0.00000,  -0.47071
   0.00000,  -0.47002
   0.00000,  -0.40353
   0.00000,  -0.57310
   0.00000,  -0.81913
   0.00000,  -0.85177
   0.00000,  -0.67968
   0.00000,  -0.77019
   0.00000,  -0.68888
   0.00000,  -0.47354
   0.00000,  -0.72333
   0.00000,  -0.50729
   0.00000,  -0.43505
   0.00000,  -0.51811
   0.00000,  -0.38655
   0.00000,  -0.23080
   0.00000,  -0.32931
   0.00000,  -0.35610
   0.00000,  -0.30684
   0.00000,  -0.29233
   0.00000,  -0.36743
   0.00000,  -0.28900
   0.00000,  -0.31384
   0.00000,  -0.38607
   0.00000,  -0.35426
   0.00000,  -0.37207
   0.00000,  -0.41357
   0.00000,  -0.37727
   0.00000,  -0.29852
   0.00000,  -0.36360
   0.00000,  -0.40181
   0.00000,  -0.35059
   0.00000,  -0.36271
   0.00000,  -0.43773
   0.00000,  -0.43627
   0.00000,  -0.43187
   0.00000,  -0.44706
   0.00000,  -0.45526
   0.00000,  -0.44005
   0.00000,  -0.49513
   0.00000,  -0.43485
   0.00000,  -0.33316
   0.00000,  -0.40471
   0.00000,  -0.34508
   0.00000,  -0.27466
   0.00000,  -0.36428
   0.00000,  -0.29133
   0.00000,  -0.34034
   0.00000,  -0.37672
   0.00000,  -0.30311
   0.00000,  -0.41454
   0.00000,  -0.47170
   0.00000,  -0.35598
   0.00000,  -0.48573
   0.00000,  -0.50565
   0.00000,  -0.35405
   0.00000,  -0.49332
   0.00000,  -0.68102
   0.00000,  -0.46112
   0.00000,  -0.62428
   0.00000,  -0.81186
   0.00000,  -0.66465
   0.00000,  -0.80817
   0.00000,  -0.87321
   0.00000,  -0.76966
   0.00000,  -0.78397
   0.00000,  -0.72359
   0.00000,  -0.69096
   0.00000,  -0.81941
   0.00000,  -0.69829
   0.00000,  -0.71410
   0.00000,  -0.94198
   0.00000,  -0.79364
   0.00000,  -0.56681
   0.00000,  -0.80462
   0.00000,  -0.61226
   0.00000,  -0.35383
   0.00000,  -0.62439
   0.00000,  -0.43298
   0.00000,  -0.33885
   0.00000,  -0.37989
   0.00000,  -0.38627
   0.00000,  -0.34598
   0.00000,  -0.36626
   0.00000,  -0.27779
   0.00000,  -0.36144
   0.00000,  -0.52581
   0.00000,  -0.72260
   0.00000,  -0.66116
   0.00000,  -0.54367
   0.00000,  -0.76744
   0.00000,  -0.72282
   0.00000,  -0.63988
   0.00000,  -0.82976
   0.00000,  -0.76718
   0.00000,  -0.65646
   0.00000,  -0.78308
   0.00000,  -0.67571
   0.00000,  -0.64218
   0.00000,  -0.72736
   0.00000,  -0.61692
   0.00000,  -0.72078
   0.00000,  -0.74428
   0.00000,  -0.64724
   0.00000,  -0.50401
   0.00000,  -0.81384
   0.00000,  -0.68469
   0.00000,  -0.51930
